,ema_230421_090640T09.06.00.00.wav,ema_230421_090745T09.07.00.00.wav,firstreef_230420_201800T01.08.00.00.wav,firstreef_230420_201500T01.50.00.00.wav,firstreef_230420_201200T01.20.00.00.wav,firstreef_230420_200900T00.09.00.00.wav,firstreef_230420_200600T00.06.00.00.wav,firstreef_230420_200300T00.30.00.00.wav,firstreef_230420_200000T00.00.00.00.wav,ema_230421_085905T08.59.00.00.wav,ema_230421_090010T09.00.00.00.wav,ema_230421_090115T09.01.00.00.wav,ema_230421_090220T09.02.00.00.wav,ema_230421_090325T09.03.00.00.wav,ema_230421_090430T09.04.00.00.wav,ema_230421_090535T09.05.00.00.wav,firstreef_230420_195700T09.57.00.00.wav,firstreef_230420_195400T09.54.00.00.wav,firstreef_230420_195100T09.51.00.00.wav,narega1_230424_122930T22.09.00.00.wav,narega1_230424_122825T22.08.00.00.wav,narega1_230424_122720T22.07.00.00.wav,narega1_230424_122615T22.06.00.00.wav,narega1_230424_122510T22.50.00.00.wav,narega1_230424_122405T22.40.00.00.wav,narega1_230424_122300T22.30.00.00.wav,narega1_230424_122155T22.10.00.00.wav,narega1_230424_122050T22.00.00.00.wav,narega1_230424_121945T21.09.00.00.wav,tuare_230420_234200T03.42.00.00.wav,tuare_230420_233900T03.39.00.00.wav,tuare_230420_233600T03.36.00.00.wav,tuare_230420_233300T03.33.00.00.wav,tuare_230420_233000T03.30.00.00.wav,tuare_230420_232700T03.27.00.00.wav,tuare_230420_232400T03.24.00.00.wav,tuare_230420_232100T03.21.00.00.wav,tuare_230420_231800T03.18.00.00.wav,tuare_230420_231500T03.15.00.00.wav,ema_230421_085800T08.58.00.00.wav
44,0.008910827,0.01397515,0.049845953,0.055182867,0.031215865,0.03223596,0.026437152,0.013924666,0.025657468,0.010679177,0.014481777,0.0088527,0.01055021,0.0061275326,0.015851902,0.009529285,0.016878732,0.016512986,0.022668563,0.0010824113,0.0001264128,0.0016517228,0.0025286016,0.0,0.0003280928,0.0010160779,0.0021192585,0.0,0.0,0.003054908,0.00367002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009640755
45,0.0003242608,0.0042248494,0.0,0.0,0.0,0.00021846929,0.0,0.0,0.0,0.0060789646,0.002769177,0.003106745,0.0020952653,0.003018716,0.0020290667,0.00085129734,0.0,0.0,3.402031e-05,0.0,0.0,0.00025103506,0.0029372203,0.0011547995,0.0013565017,0.0006873908,0.0,5.615767e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.010807787,0.0058791107,0.44640964,0.44567445,0.44323668,0.4661323,0.43012077,0.3988334,0.4117311,0.0075911065,0.0012327298,0.005395262,0.022073185,0.00090717786,0.006871823,0.007955121,0.43273354,0.38515317,0.43384898,0.027171517,0.023799285,0.017795248,0.050019663,0.015963493,0.029874817,0.031076834,0.01605382,0.024623184,0.022548707,0.22711183,0.2231651,0.21095558,0.1861085,0.1634716,0.13377856,0.15791412,0.13773994,0.15141828,0.14303754,0.015881464
47,0.78595215,0.789083,0.7065552,0.7026655,0.7212037,0.7321371,0.7030093,0.71757156,0.6934915,0.669731,0.72837675,0.7869904,0.7696732,0.73923546,0.7670834,0.77908295,0.69660884,0.7038909,0.6583067,1.4852692,1.4376451,1.4828511,1.2996925,1.4609275,1.3818444,1.4370415,1.4841381,1.4223603,1.4428076,0.877884,0.8401342,0.8758689,0.9165268,0.92846143,0.9407101,0.88749254,0.92356294,0.9844173,0.91328454,0.7066273
48,0.674723,0.62516713,0.41467497,0.46607494,0.4436914,0.44328558,0.50433826,0.5141684,0.48354772,0.6575976,0.65453225,0.6184271,0.6538173,0.57453626,0.66554475,0.63026005,0.50281656,0.5196761,0.45148537,0.7254221,0.7363183,0.7744161,0.8133141,0.72857714,0.74551064,0.7359233,0.76028407,0.83603835,0.72511494,0.24210425,0.3365422,0.37538084,0.41410467,0.4369564,0.40384415,0.45373932,0.38873026,0.48889905,0.4597702,0.7470681
49,0.23544878,0.19766758,0.15938288,0.16423438,0.21234046,0.30195925,0.3157356,0.25691152,0.24962784,0.19609936,0.18471177,0.21733147,0.30071503,0.18012965,0.21177456,0.22949922,0.24106999,0.31341052,0.27864236,0.08214175,0.06446312,0.06546889,0.095457,0.095729366,0.12591822,0.084252276,0.074497625,0.06770591,0.09063229,0.91054237,0.87447774,0.8820527,0.80412245,0.87184495,0.90193546,0.75968057,0.83351904,1.0333604,0.9660202,0.23506896
50,0.0,0.0,0.039010476,0.045293022,0.026113749,0.030621316,0.017527532,0.019558547,0.026848152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017601883,0.013241333,0.0329844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088899275,0.012331965,0.0050122347,0.0038843246,0.0026969141,0.0,0.0,0.00014044966,0.0,0.0018638159,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0022533762,0.0064796745,0.0024709916,0.0038200722,0.00035063096,0.002857388,0.0003969224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004075237,0.005099338,0.0038508498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
